,Text,Speaker,Season
0, [in a calm tone] - Then what do you suggest we do? I dont think either of us are eager to jump into bed with another Tuco.,Walter,4
1, Look you remember Emilio? Kay this dude got Emilio off like twice. Kay both times they had him dead to rights yo and then poof. Dudes like Houdini. Seriously when the going gets tough you dont want a criminal lawyer all right? You want a criminal lawyer. You know what Im saying?,Jesse,5
2, You are joking right? If I gave you that money you would be dead inside of a week.,Walter,3
3, Yeah damn straight. Know why? Cause we do things my way this time or I walk! You need me more than I need you...Walt.,Jesse,5
4, Stay out of my territory.,Walter,3
5, The shit you cook is shit. I saw your set-up. Ridiculous. You and I will not make garbage. We will produce a chemically pure and stable product that performs as advertised. No adulterants. No baby formula. No chili powder.,Walter,1
6, You know what? Screw this. Im walking. You can come or not. Wheres my other shoe?,Hank,5
7, Jesus I dont wanna die! NO!,Hank,2
8, And perhaps I was overly ambitious. In any case its not gonna happen that way anymore.,Walter,3
9, I need support. Me the almost forty year old pregnant woman with the surprise baby on the way. And the husband with lung cancer who disappears for hours on end and I dont know where he goes and he barely even speaks to me anymore. With the moody son who does the same thing. And the overdrawn checking account. And the lukewarm water heater that leaks rusty looking crap and is rotting out the floor of the utility closet and we cant even afford to fix it! But oh I see! Now Im supposed to go Hank please what can I possibly do to further benefit my spoiled kleptomaniac bitch sister who somehow always manages to be the center of attention? Cause God knows shes the one with the really important problems!,Skyler,5
10, Yo man look Im off the heroin. I didnt even like it anyway it made me sick. And the meth yknow I could take it or leave it. Im clean Mr. White. For real.,Jesse,4
11, Oh thank God!,Hank,4
12, Nothing. Im sorry I just...,Hank,3
13, This is conjecture.,Walter,4
14, What are we building?,Hank,5
15, Snap out of it. All right first off everything you did you did for your family. Right?,Hank,3
16, Yeah? Jesus how the hell do you spell street wrong? S-T-R-E-A-T?,Hank,2
17, Its a whole lot of cheddar.,Hank,5
18, Whats it feel like?,Jesse,2
19, How about something with some protein maybe? Something green huh? How are you even alive?,Walter,3
20, Man cmon!,Jesse,3
21, Jesse look at me you are a blow fish.,Walter,4
22, Yo you wanna go shopping go do it yourself alright? I got plans.,Jesse,3
23, Badgers cousin took it to his garage. Its safe.,Hank,2
24, Jesus I dont wanna die! NO!,Jesse,5
25, What part of no contact didnt you understand?,Walter,3
26, Dont shoot!,Jesse,2
27, Okay can you at least tell me why?,Walter,3
28, The dude needs his eye candy ...,Hank,2
29, Hank has offered to help since you shouldnt be doing any heavy lifting.,Skyler,5
30, Ha!,Walter,5
31, Its clean.,Jesse,5
32, Fuck you.,Walter,3
33, Well my guess was Gretchen Schwartz. Something was going on between you. I just knew.,Skyler,5
34, Look I dont know what you think youre doing here Mr. White. I mean if youre planning on giving me some bullshit about getting right with Jesus by turning myself in...,Jesse,1
35, I dont understand. What exactly are you offering to do for me?,Walter,3
36, No why dont you grow up mom? Jenny wanted me here! Alright I was the one who took care of her. Alright I took her to her appointments and made her lunch everyday. I earned this!,Jesse,5
37, [kicking Tuco into the shallow pit] Whos the bitch now?!,Jesse,5
38, No thanks for caring.,Jesse,2
39, Who said anything about you?,Hank,2
40, No mom mom mom! Hey where am I supposed to go?,Jesse,3
41, The man who invented the diamond. All right. H. Tracy Hall – write this name down. Dr. Hall invented the first reproducible process for making synthetic diamonds. I mean this is way back in the 50s. Now today synthetic diamonds are used in oil drilling electronics multi-billion dollar industries. Now at the time Dr. Hall worked for General Electric and he made them a fortune. I mean incalculable. You want to know how GE rewarded Dr. Hall? A $10 U.S. savings bond. [Walt becomes angry but calms himself] Anyway a savings bond printed on carbon-based paper paid to a carbon-based man for something he made out of...carbon.,Walter,2
42, Whats changed Jesse?,Walter,5
43, You got something for me?,Jesse,5
44, What are you talking about?,Jesse,3
45, Yo man look Im off the heroin. I didnt even like it anyway it made me sick. And the meth yknow I could take it or leave it. Im clean Mr. White. For real.,Hank,2
46, I have it coming. I deserve this.,Walter,4
47, Okay dont talk Walt! Shut up and say something that isnt complete bullshit! You want to know what you have to do? You have to tell me whats really going on right now – today. No more excuses no more apologies no more of these...these obvious desperate breakfasts! You dont wanna lose contact with me Walt? Good. Then tell me. Now.,Skyler,3
48, Ive got a better idea.,Walter,5
49, Jesus I dont wanna die! NO!,Jesse,3
50, And now what? You decided to oh I dont know make your eldest son homeless? Wow great family mom!,Jesse,2
51, We used a different chemical process but it is every bit as pure.,Walter,1
52, Three entire bags of Funyuns?,Walter,4
53, We got to be Tuco. Alright cut out the middle man run our own game.,Hank,5
54, Are you out of your mind? What are you like sixteen years old? Your brother-in-law is a DEA agent! What is wrong with you?,Skyler,1
55, $1.2 million.,Walter,4
56, Oh I mean...,Jesse,5
57, Yeah. Thats pretty much the size of it.,Walter,4
58, Whats changed Jesse?,Walter,3
59, Yeah? Well you dont get to vote.,Hank,2
60, I sat here yesterday waiting to meet with someone. I believe that person was you.,Walter,4
61, Apparently its all over town. Somebody crossed you you got angry you crushed their skull with an ATM machine.,Walter,2
62, Yo Im really sorry okay?,Hank,4
63, Yo you wanna go shopping go do it yourself alright? I got plans.,Jesse,5
64, What the f...?,Walter,2
65, Yeah yeah this is gonna help big time with that. BITCH!,Hank,5
66, What?,Jesse,1
67, Im going to Hank and Maries for the weekend.,Skyler,3
68, No he just walks backwards.,Hank,5
69, [to Skyler] Our son doesnt know who Boz Scaggs is. We have failed as parents.,Walter,4
70, You need to cut out all your loser crybaby crap right now and think of something scientific!,Jesse,3
71, High school was a long time ago. You aint Welcome Back Kotter so step off. No speeches.,Hank,1
72, What?,Jesse,2
73, Jesus I dont wanna die! NO!,Jesse,2
74, What part of no contact didnt you understand?,Walter,4
75, That must be it!,Walter,3
76, Okay.,Hank,3
77, Have a seat. Please. [Gus sits down across from Walt] I would like to know why you wouldnt meet with me yesterday.,Walter,2
78, What?,Jesse,4
79, The upshot is that I have radiation pneumonitis.,Walter,4
80, Look that is completely uncool alright? We agreed 50/50 partners!,Jesse,2
81, Yeah? Well you dont get to vote.,Hank,5
82, I got profile now yo. Dont you get that? DEAs up my ass. [takes a sip of his beer] No Im not exposing myself to that level of risk for chump change. - No way.,Hank,3
83, I have this coming.,Walter,2
84, $480000. Sauls cut is 20%.,Walter,2
85, I want you gone by Monday morning. I want...I want you gone.,Skyler,4
86, You got a brother in the goddamned DEA?!,Hank,1
87, And now what shall we use to conduct this beautiful current with hm? What one particular element comes to mind hm? [Walter holds up a copper wire] Hmm?,Walter,4
88, Did he mention my name?,Walter,2
89, ...to come to my house and park on my street driving this vehicle? I mean what the hell is wrong with you?! Im really asking!,Walter,4
90, Man cmon!,Hank,5
91, Ive got a better idea.,Walter,3
92, We need a plan.,Walter,3
93, Crack him over the head with something? [Walter sarcastically holds up a fly swatter],Walter,4
94, You know what I think? I think you accidentally told the truth.,Skyler,5
95, The dude needs his eye candy ...,Jesse,4
96, Who said anything about you?,Hank,3
97, Yeah. I would waste him too yo.,Hank,3
98, The dude needs his eye candy ...,Hank,4
99, Okay now we...I mean what do we...Oh! Hey I almost forgot. [Jesse hands Walter a paper bag filled with money] So how do you want to...yknow...proceed in light of this kickass news?,Hank,2
100, Of course. I am.,Walter,5
101, Well were set. Boys are ready. Gonna make some mad cheddar yo. [Walter looks at Jesse] Cheddar Mr. White. Fat stacks. Dead Presidents. Cash money. Were gonna own this city.,Jesse,3
102, Wait wait what does he know? Does he know its your money?,Walter,5
103, Your what? What is that?,Walter,3
104, I told you not to change the channel Man!,Jesse,3
105, So you plan to uh ice Gonzo like...future tense?,Hank,2
106, Tuco? no man ... no more Taco... I got bills man.,Hank,2
107, Yeah damn straight. Know why? Cause we do things my way this time or I walk! You need me more than I need you...Walt.,Hank,3
108, Spooge? Not Mad Dog? Not Diesel? So lemme get this straight you got jacked by a guy named Spooge?,Jesse,3
109, You got something for me?,Hank,5
110, Hey! Bring. The bottle. Back.,Walter,5
111, Hey hey! What the hell yo? I thought this was just a wake-up call!,Hank,4
112, Oh my conjecture isnt helping?,Jesse,5
113, What is that? Conjecture? Are you basing that on that hes got a normal healthy brain or something? Did you not see him beat a dude to death for like nothing? And that way–that way he just kept staring at us. Saying Youre done. Youre done?! You wanna know what that means? I will tell you what that means! That means exactly how it sounds yo! Alright we are witnesses we are loose ends! Right now Tucos thinking Yeah hey they cook good meth but can I trust them? What happens when he decides no?,Jesse,2
114, What part of no contact didnt you understand?,Walter,5
115, Look I dont know what you think youre doing here Mr. White. I mean if youre planning on giving me some bullshit about getting right with Jesus by turning myself in...,Hank,1
116, Youre saying Tuco youre saying Gonzo is currently operating as a police informant as far as you know? [Tuco nods] Im very sorry to hear that. Thats disappointing.,Walter,5
117, Look you remember Emilio? Kay this dude got Emilio off like twice. Kay both times they had him dead to rights yo and then poof. Dudes like Houdini. Seriously when the going gets tough you dont want a criminal lawyer all right? You want a criminal lawyer. You know what Im saying?,Hank,5
118, What you said in the desert I get it. What you meant. I deserve whatever happens.,Hank,3
119, Skyler...,Walter,5
120, Who cares as long as its our competitors who believe it and not the police? -Oh my--,Walter,5
121, You uh...you want to cook crystal meth? You. You and uh...and me?,Jesse,1
122, Oh my conjecture isnt helping?,Jesse,4
123, Yeah? You shot an ounce? In a day and a half?,Hank,3
124, Hey...no...no man. No...,Jesse,3
125, What? Im just saying.,Hank,1
126, Where...did that come from? And why was it so damn good?,Skyler,1
127, You got something for me?,Jesse,2
